Student ID (last 4 digits), Date, Sign-In Time, Sign-Out Time, Hours Logged
3646,2019-01-18,15:03:19.544239,16:36:43.825406,1.5567
6287,2019-01-18,15:03:27.567973,17:29:09.058091,2.4282
9302,2019-01-18,15:03:31.562022,17:42:11.596092,2.6445
2184,2019-01-18,15:03:44.646044,16:58:22.664506,1.9106
0644,2019-01-18,15:03:46.412091,17:44:43.079749,2.6824
2220,2019-01-18,15:03:47.732156,17:15:00.469636,2.1869
9528,2019-01-18,15:03:50.332106,17:59:54.197592,2.9344
4201,2019-01-18,15:04:05.288046,19:09:43.750541,4.094
9949,2019-01-18,15:04:06.844069,17:38:55.434850,2.5802
0700,2019-01-18,15:04:12.899904,16:07:32.522150,1.0555
2222,2019-01-18,15:04:13.899997,17:28:34.546319,2.4057
3439,2019-01-18,15:04:15.068134,18:34:06.881566,3.4977
3255,2019-01-18,15:04:27.603938,17:01:17.522424,1.9472
1926,2019-01-18,15:04:43.922538,17:08:18.908080,2.0597
7624,2019-01-18,15:04:47.702285,16:16:44.696845,1.1992
0115,2019-01-18,15:04:50.448215,18:15:28.539877,3.1772
3713,2019-01-18,15:04:56.802113,17:01:59.014358,1.9506
8415,2019-01-18,15:04:58.956609,16:59:54.156593,1.9153
4188,2019-01-18,15:05:19.280229,16:33:07.574075,1.4634
0898,2019-01-18,15:05:30.347982,,0
2297,2019-01-18,15:05:36.176022,17:40:02.388461,2.5739
0420,2019-01-18,15:05:50.040222,17:03:42.158365,1.9645
7453,2019-01-18,15:05:57.560169,16:42:16.820634,1.6054
7780,2019-01-18,15:06:15.951893,17:00:35.376414,1.9054
5051,2019-01-18,15:06:43.693889,17:25:41.094832,2.3159
9227,2019-01-18,15:07:28.005991,16:51:00.573377,1.7257
6502,2019-01-18,15:07:32.661988,17:02:02.708362,1.9083
7938,2019-01-18,15:07:46.638091,15:51:43.014864,0.7323
7409,2019-01-18,15:07:49.767970,17:33:59.649647,2.4361
2009,2019-01-18,15:09:11.543875,17:03:16.712212,1.9014
1565,2019-01-18,15:09:41.145736,17:42:03.576169,2.5396
1246,2019-01-18,15:10:50.605805,17:14:56.523587,2.0683
8760,2019-01-18,15:11:00.243699,17:01:14.824355,1.8374
6232,2019-01-18,15:13:44.232226,16:59:47.222221,1.7675
1105,2019-01-18,15:19:08.775830,17:15:19.375585,1.9363
5237,2019-01-18,15:23:18.506099,18:59:03.011818,3.5957
1696,2019-01-18,15:38:18.322138,,0
2792,2019-01-18,16:02:13.669181,,0
2275,2019-01-18,16:02:30.785288,,0
1889,2019-01-18,16:31:28.766432,17:07:22.682270,0.5983
2009,2019-01-18,17:03:16.434391,,0
2220,2019-01-18,17:15:09.133653,17:15:10.963548,0.0005
8920,2019-01-18,17:29:58.276155,,0
0644,2019-01-18,17:50:35.730923,17:50:37.615069,0.0005
8099,2019-01-18,20:13:12.269815,,0
4093,2019-01-19,09:16:36.997886,,0
1312,2019-01-19,09:58:07.751448,17:31:49.985585,7.5617
2222,2019-01-19,09:58:11.003055,15:31:11.348710,5.5501
